CSP Algorithm,,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, , Start, Modelled, Solved, Decoded,
true,40,103.342512,4796.3283,50, ,41.1109,545.6154,4831.0521,4832.6403,
true,58,74.889768,2669.8879,50, ,4856.5028,4911.143299,7525.551799,7526.1879,
true,62,92.930312,3061.8049,50, ,7546.4071,7612.4671,10607.6651,10608.0813,
true,38,80.841672,2496.5682,50, ,10629.2618,10685.2999,13125.1951,13125.6745,
true,63,85.064712,2462.9677,50, ,13145.5731,13211.6119,15607.8717,15608.229299,
true,59,90.622072,3162.646399,50, ,15629.7461,15702.6813,18791.903199,18792.192,
true,39,72.620752,4737.304101,50, ,18809.3311,18876.34,23546.2305,23546.4267,
true,38,110.233384,2767.092401,50, ,23559.2566,23605.4892,26325.9879,26326.2217,
true,40,82.735008,3057.6029,50, ,26342.7901,26407.099099,29400.0413,29400.209,
true,40,87.564424,2951.9376,50, ,29413.9617,29481.5542,32365.258199,32365.628799,
true,61,86.747944,2590.671601,50, ,32383.229599,32439.618699,34973.5507,34973.7745,
true,38,90.945384,2386.7861,50, ,34988.0017,35038.2895,37374.4894,37374.6753,
true,38,100.503184,2983.5878,50, ,37387.430399,37434.1579,40370.671,40370.8548,
true,65,119.89944,2614.9635,50, ,40385.9865,40439.0996,43000.5844,43000.7989,
true,66,113.965648,3887.7921,50, ,43016.7778,43066.8681,46904.2615,46904.4677,
true,63,72.56288,2931.2517,50, ,46919.0099,46965.8797,49849.9866,49850.151,
true,63,97.746968,2799.8703,50, ,49861.4262,49908.5917,52660.8655,52661.1535,
true,38,112.73576,3249.966199,50, ,52679.3734,52734.9553,55928.862899,55929.043,
true,63,127.216104,2896.3406,50, ,55946.4436,56000.696599,58842.409099,58842.5823,
true,39,83.009296,1796.4013,50, ,58858.6215,58904.1087,60654.768199,60654.9162,
true,63,94.190664,2752.4068,50, ,60667.278099,60707.3312,63419.410899,63419.567299,
true,36,76.988928,2352.6182,50, ,63431.7119,63469.5319,65783.9579,65784.201599,
true,38,100.078552,2242.3001,50, ,65794.960799,65833.3885,68037.0169,68037.1669,
true,38,64.577232,2177.815101,50, ,68050.4243,68090.0027,70227.923899,70228.134099,
true,62,98.87332,1987.5391,50, ,70238.523199,70274.3276,72225.8187,72225.9651,
true,44,96.813952,3071.6999,50, ,72239.0113,72283.275,75310.4304,75310.6117,
true,65,117.1726,3359.5727,50, ,75323.4066,75385.2722,78682.6479,78682.8669,
true,66,86.19356,2666.031901,50, ,78697.1797,78735.6614,81362.9615,81363.128,
true,59,76.670472,2482.5577,50, ,81376.1771,81408.704699,83858.351499,83858.581099,
true,62,102.20804,3371.1227,50, ,83872.9494,83932.5444,87243.7028,87243.958399,
true,67,103.678768,2538.625,50, ,87258.371799,87306.34,89796.7518,89796.8994,
true,66,77.04044,2094.3351,50, ,89812.1316,89856.7143,91906.084,91906.3647,
true,43,101.934048,2290.717201,50, ,91918.580899,91956.7994,94208.958399,94209.1928,
true,39,93.088296,2082.0412,50, ,94221.6618,94256.8436,96303.4165,96303.6046,
true,64,117.987384,2879.4911,50, ,96316.7157,96362.0483,99195.8529,99196.009299,
true,68,119.931464,2926.324699,50, ,99211.7434,99259.605699,102137.8651,102138.0162,
true,62,89.15896,2968.2432,50, ,102153.7982,102200.2459,105121.763099,105121.9878,
true,57,65.94808,3514.6836,50, ,105160.1887,105254.2468,108674.5638,108674.7357,
true,39,113.174504,2643.0457,50, ,108686.9949,108738.4212,111329.7515,111329.8986,
true,64,109.42564,4363.648901,50, ,111344.8855,111397.440499,115708.323999,115708.4797,
true,64,110.103112,2795.157599,50, ,115722.7429,115762.457399,118517.697199,118517.846399,
true,64,113.98044,1923.039101,50, ,118530.4078,118567.576699,120453.0251,120453.3832,
true,60,97.744864,2568.4287,50, ,120468.437499,120512.9992,123036.574,123036.8101,
true,63,100.458456,2718.0976,50, ,123049.3775,123091.6079,125767.2791,125767.4275,
true,65,69.488232,1831.443699,50, ,125779.6667,125815.8918,127610.8785,127611.0507,
true,61,107.348384,2329.1311,50, ,127621.523099,127654.1315,129950.4484,129950.602,
true,62,143.143328,3048.8925,50, ,129966.3649,130026.4069,133015.040799,133015.197599,
true,43,102.957128,1858.8115,50, ,133030.704099,133073.1015,134889.232,134889.4538,
true,40,90.003936,2598.813201,50, ,134904.201799,134952.7023,137502.7383,137502.947499,
true,35,88.869816,2967.6904,50, ,137515.5027,137558.3515,140482.9972,140483.147,
true,37,81.478704,2859.928299,50, ,140497.0942,140541.9804,143356.76,143356.9503,
true,43,109.124944,2458.824399,50, ,143369.1173,143410.122799,145827.7534,145827.8945,
true,41,87.471688,1916.6129,50, ,145844.408499,145887.4131,147760.6125,147760.9193,
true,64,98.234056,1926.3106,50, ,147772.1929,147809.528,149698.3127,149698.459099,
true,63,78.9446,2401.9901,50, ,149712.8633,149750.764999,152114.636,152114.8055,
true,62,100.813344,2316.622499,50, ,152127.026799,152165.186899,154443.4579,154443.5981,
true,40,119.885984,2509.6809,50, ,154456.6097,154504.541999,156966.0959,156966.227899,
true,42,122.094232,2450.470799,50, ,156982.5635,157030.3302,159432.829799,159432.956599,
true,36,74.599704,3401.2107,50, ,159450.186199,159488.7606,162851.207799,162851.3516,
true,42,120.011184,2832.2109,50, ,162865.1392,162928.1993,165697.1356,165697.2999,
true,38,104.065976,2615.5261,50, ,165714.1094,165759.5963,168329.4204,168329.5697,
true,38,97.292416,2187.566,50, ,168343.514299,168379.071499,170530.8631,170531.0311,
true,42,94.253744,3032.163901,50, ,170545.5222,170593.053,173577.4234,173577.5586,
true,38,101.184024,2038.8407,50, ,173590.2946,173633.034899,175628.8908,175629.0737,
true,36,81.241304,1869.699001,50, ,175642.4323,175679.4638,177511.9574,177512.0896,
true,40,93.585608,1724.6825,50, ,177523.8462,177565.7051,179248.3323,179248.4811,
true,44,77.432368,2047.970701,50, ,179262.0952,179303.3475,181309.8653,181310.0225,
true,61,108.907816,2438.2023,50, ,181322.1894,181367.0342,183760.188,183760.3218,
true,67,75.189696,2057.786001,50, ,183774.1103,183813.9656,185831.6907,185831.8341,
true,41,99.502752,2216.1825,50, ,185843.059399,185890.2879,188058.9953,188059.186999,
true,45,87.43572,2536.3642,50, ,188072.237,188113.496399,190608.3911,190608.5628,
true,64,109.920432,2023.5968,50, ,190620.6235,190659.0438,192643.9391,192644.0645,
true,37,97.05444,2544.5579,50, ,192657.7024,192698.4334,195202.0765,195202.2329,
true,63,95.615296,2582.5719,50, ,195213.938399,195253.6335,197796.325199,197796.478299,
true,42,66.036216,2075.1399,50, ,197808.4775,197851.949799,199883.3931,199883.586,
true,41,100.910176,2191.661299,50, ,199894.1668,199932.669599,202085.5954,202085.7937,
true,63,114.827296,3094.4339,50, ,202099.6151,202144.5603,205193.818799,205194.009699,
true,34,84.478688,2302.1456,50, ,205209.6036,205250.423,207511.5698,207511.715,
true,37,101.633584,3436.2944,50, ,207523.0509,207573.9381,210959.1546,210959.3095,
true,39,119.124232,2586.0061,50, ,210972.7123,211012.6988,213558.480199,213558.6832,
true,38,84.684424,2664.3835,50, ,213573.328699,213612.8813,216237.5401,216237.678099,
true,39,75.25736,2084.135899,50, ,216248.5227,216281.9534,218332.3254,218332.6213,
true,44,101.879,2389.4976,50, ,218344.324099,218393.5985,220733.6387,220733.7691,
true,61,115.698008,2568.908,50, ,220748.1495,220797.2064,223316.880699,223317.0242,
true,45,80.347088,2570.4882,50, ,223332.4039,223370.9928,225902.7172,225902.8596,
true,57,83.68884,1859.7376,50, ,225913.7518,225941.594299,227773.215,227773.453899,
true,41,85.825192,2563.605501,50, ,227786.1754,227827.2919,230349.6158,230349.7544,
true,64,92.888168,2505.4569,50, ,230361.3438,230398.4274,232866.569499,232866.7625,
true,61,80.171032,1796.6782,50, ,232879.5807,232916.66,234675.816499,234676.214299,
true,41,126.501312,3415.4424,50, ,234689.6231,234731.0756,238104.9284,238105.0436,
true,66,66.314096,2821.7227,50, ,238119.8894,238165.5601,240941.4496,240941.5895,
true,61,77.45236,2499.439599,50, ,240951.7322,240986.302299,243450.9155,243451.145699,
true,64,92.249232,2727.654801,50, ,243462.5111,243521.3763,246190.0263,246190.1407,
true,38,88.837024,2667.0176,50, ,246202.1787,246252.897999,248869.026599,248869.1655,
true,41,94.507328,3627.080199,50, ,248881.5342,248928.285599,252508.3721,252508.5798,
true,40,75.09156,4171.3894,50, ,252529.5902,252575.9412,256700.825099,256700.955099,
true,36,100.524832,2359.6875,50, ,256713.5776,256756.2173,259073.019399,259073.226199,
true,41,65.638296,2981.5459,50, ,259088.586799,259154.0818,262069.823,262070.0845,
true,65,107.953656,3307.119701,50, ,262081.493199,262146.920999,265388.4464,265388.5868,
true,61,79.57152,3026.138,50, ,265403.1413,265460.846199,268429.0697,268429.2469,

,,,,,,,51.200787,2618.341779,0.210503,


The DEFAULT parameters of the random test data: Days:60  Hours:8  Rooms:30  Sessions:50  Individuals:50 (Ignore for the specified parameter(s)).
